Title,Genres,Movie Rating,Release Year,Movie Plot
Suspicion,"Film-Noir, Mystery, Thriller",7.3,1941,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her."
The Lady Vanishes,"Mystery, Thriller",7.7,1938,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
Easy A,"Comedy, Drama, Romance",7.0,2010,"When Olive lies to her best friend about losing her virginity to one of the college boys, a girl overhears their conversation. Soon, her story spreads across the entire school like wildfire."
Hidden Figures,"Biography, Drama, History",7.8,2016,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Hidden Figures: It All Adds Up - The Making of Hidden Figures,Short,8.1,2017,"In 1962, astronaut Col. John Hershel Glenn Jr. became the first american to orbit the Earth. He circled the globe three times. Hidden figures is a drama loosely based on the people at NASA during the period of 1961, principally three black female mathematicians who played a pivotal role in making the launch possible.—tomwladyslaw"
The Help,Comedy,6.2,2004– ,Maria was on her way to becoming a beautician when her mother's illness forced the 22-year-old to come home to care for her. Maria's mom has since moved on to a better place. Maria becomes maid for the insanely wealthy Ridgeway dynasty.
The Postman,"Action, Adventure, Drama",6.1,1997,A nameless drifter dons a postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in post-apocalyptic America.
Rain Man,Drama,8.0,1988,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance."
The Bodyguard,"Action, Drama, Music",6.4,1992,"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's."
Drishyam 2,"Crime, Drama, Mystery",8.2,2022,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
Hera Pheri,"Action, Comedy, Crime",8.2,2000,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
Drishyam,"Crime, Drama, Thriller",8.3,2013,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
Gangs of Wasseypur,"Action, Comedy, Crime",8.2,2012,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
OMG: Oh My God!,"Comedy, Drama, Fantasy",8.1,2012,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
Breathless,"Crime, Drama",7.7,1960,"A small-time crook, hunted by the authorities for a car theft and the murder a police officer, attempts to persuade a hip American journalism student to run away with him to Italy."
Antoine and Colette,"Short, Comedy, Drama",7.5,1962,"Antoine Doinel is 17, lives in a hotel and works in a factory making records; he loves music. He falls in love with a woman he meets at a concert. She sees him as a friend, but her parents love him."
Doctor Zhivago,"Drama, Romance, War",7.9,1965,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
It's a Very Merry Muppet Christmas Movie,"Adventure, Comedy, Family",6.3,2002,"'Twas the night before Christmas and the Muppet Theatre is in danger of being torn down, but with hilarious send-ups of just about every holiday movie ever made, the Muppets discover that what matters most is their love for each other."
The Donna Reed Show,"Comedy, Family",7.4,1958–1966,A loving mother and wife deals with situations and problems of a middle-class family in the late 1950s and the early 1960s.
Rudolph the Red-Nosed Reindeer,"Animation, Adventure, Comedy",8.0,1964,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose."
Stray Dog,"Crime, Drama, Film-Noir",7.8,1949,"During a sweltering summer, a rookie homicide detective tries to track down his stolen Colt pistol."
Miracle on 34th Street,"Drama, Family, Fantasy",6.6,1994,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.
Terminator 3: Rise of the Machines,"Action, Sci-Fi",7.0,2003,"An audiobook of 'Terminator 3: Rise of the Machines', narrated by Jonathan Davis."
Children of Dune,"Adventure, Drama, Sci-Fi",7.3,2003,"The twins of Paul ""Muad'dib"" Atreides become embroiled in the political landscape of Arrakis (""Dune"") and the rest of the universe."
Total Recall,"Action, Adventure, Sci-Fi",7.5,1990,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?"
A Christmas Story,"Comedy, Family",7.9,1983,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
It's a Wonderful Life,"Comedy, Family",6.3,1994,"A big family faces many life problems, and everyone tries best to find love and happiness in the new year."
An American Tail: Fievel Goes West,"Animation, Adventure, Family",6.5,1991,"Fievel's family decides to move out to the West, unaware that they are falling into a trap perpetrated by a smooth-talking cat."
Dune Drifter,"Action, Drama, Sci-Fi",3.6,2020,"After a devastating orbital space battle, the survivor of a crashed star-fighter must navigate the harsh environment of a desolate planet to save herself before her life support expires."
Mr. Krueger's Christmas,"Drama, Family, Fantasy",7.9,1980,An elderly widower relies on his daydreams and faith to get through a lonely Christmas.
Terminator: The Sarah Connor Chronicles,"Action, Drama, Fantasy",7.6,2008–2009,"Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon."
Predator 2,"Action, Horror, Sci-Fi",6.3,1990,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles."
When Marnie Was There,"Animation, Drama, Family",7.6,2014,"Anna, a shy 12-year-old girl, is sent to spend time with her aunt and uncle who live in the countryside, where she meets Marnie. The two become best friends. But Anna gradually discovers that Marnie is not quite who she appears to be."
Nimona,"Animation, Action, Adventure",7.5,2023,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
The Tale of The Princess Kaguya,"Animation, Drama, Family",8.0,2013,"Kaguya is a beautiful young woman coveted by five nobles. To try to avoid marrying a stranger she doesn't love, she sends her suitors on seemingly impossible tasks. But she will have to face her fate and punishment for her choices."
A Charlie Brown Christmas,"Animation, Comedy, Drama",8.3,1965,"Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas."
Pom Poko,"Animation, Comedy, Drama",7.3,1994,A community of magical shape-shifting raccoon dogs struggle to prevent their forest home from being destroyed by urban development.
How the Grinch Stole Christmas!,"Animation, Comedy, Family",8.3,1966,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.
Frosty the Snowman,"Animation, Short, Comedy",7.3,1969,A living snowman and a little girl struggle to elude a greedy magician who is after the snowman's magic hat.
The Muppet Christmas Carol,"Comedy, Drama, Family",7.8,1992,The Muppets present their own touching rendition of Charles Dickens' classic tale.
A Christmas Carol,"Drama, Family, Fantasy",8.1,1951,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve, he will be visited by three spirits who will show him the error of his ways."
Santa Claus Is Comin' to Town,"Animation, Adventure, Comedy",7.7,1970,A mailman reveals the origin of Santa Claus.
Meet Me in St. Louis,"Comedy, Drama, Family",7.5,1944,Young love and childish fears highlight a year in the life of a turn-of-the-century family.
The Martian,"Adventure, Drama, Sci-Fi",8.0,2015,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
Gravity,"Drama, Sci-Fi, Thriller",7.7,2013,"Dr Ryan Stone, an engineer on her first time on a space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking."
The Santa Clause,"Comedy, Drama, Family",6.6,1994,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place."
Ex Machina,"Drama, Sci-Fi, Thriller",7.7,2014,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
Edge of Tomorrow,"Action, Adventure, Sci-Fi",7.9,2014,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
